gpt2_small_pos_DSSS1,gpt2_small_neg_DSS1,gpt2_small_pos_DSS2,gpt2_small_neg_DSS2,gpt2_small_MB_GSS1,gpt2_small_FB_GSS1,gpt2_small_MB_GSS2,gpt2_small_FB_GSS2
a0.h3->m1,m1->a6.h8<q>,input->a0.h9<v>,m2->m11,a6.h4->m8,a11.h8->logits,m8->m9,m2->a3.h5<q>
m1->a3.h3<q>,m0->a1.h10<v>,a11.h0->m11,m9->m10,m6->m8,m0->a11.h8<v>,a1.h7->m1,a1.h7->m1
a1.h8->a7.h4<q>,input->logits,m1->m9,m1->m10,a11.h4->m11,a11.h4->m11,a1.h8->a3.h7<k>,m0->a11.h8<v>
a1.h8->a2.h11<q>,a1.h8->a7.h4<q>,a10.h0->logits,a8.h0->logits,a8.h9->logits,m6->m11,a11.h6->logits,a7.h4->m7
a1.h10->m2,m5->m7,a3.h5->logits,a11.h0->m11,a7.h4->m11,a7.h4->m11,m0->m3,input->a0.h10<v>
m0->m9,m0->a2.h5<v>,a3.h0->m10,a3.h0->m7,m0->a3.h1<k>,a3.h0->m8,a3.h0->m8,a3.h0->m8
a0.h7->m1,m6->m9,a11.h9->m11,m1->m7,m10->a11.h0<v>,m0->a3.h8<k>,a0.h8->m0,a11.h3->m11
a0.h6->m0,a0.h6->m0,m5->m9,m0->m10,m0->a3.h8<k>,m3->m7,m1->a2.h6<v>,a1.h8->a3.h7<k>
m0->a6.h5<q>,a1.h1->m3,a4.h8->m9,m3->m10,a7.h4->m7,m0->a3.h1<k>,a9.h8->m9,m4->m8
m0->a3.h3<q>,a0.h7->m1,a3.h0->logits,a1.h8->a9.h3<q>,a9.h4->logits,a9.h4->logits,a11.h4->m11,m3->m6
a1.h8->a5.h4<q>,m6->m8,m1->a9.h3<q>,a4.h6->logits,a11.h3->logits,m10->a11.h0<v>,m7->m9,a11.h1->logits
m6->m7,m6->m7,input->a0.h8<q>,a3.h7->logits,m2->m4,a4.h8->m11,a1.h8->a3.h10<k>,m1->a2.h6<v>
a1.h8->a6.h8<k>,a3.h0->a4.h8<q>,m0->m9,m1->m11,m3->m4,a11.h1->logits,m9->m10,m6->m8
m0->a2.h5<v>,m0->a7.h4<q>,m1->m3,m11->logits,a11.h6->logits,a6.h4->m8,m0->m9,a8.h9->logits
input->logits,m0->a3.h0<q>,m1->a9.h3<k>,a10.h9->m11,a3.h0->m8,a1.h7->m1,a10.h5->m11,a4.h8->m11
input->a0.h5<q>,m1->a3.h10<q>,m1->m5,m5->m7,a0.h8->m0,a3.h10->m5,a7.h4->m7,a7.h4->m11
m1->a6.h5<q>,a0.h5->m3,m1->m10,a3.h0->m8,a4.h8->m11,a8.h9->logits,a0.h8->m1,a1.h8->a3.h10<k>
a1.h1->m3,m3->m11,a5.h11->logits,input->a0.h9<v>,a3.h10->m5,a4.h8->m4,m4->m5,a6.h4->m8
m6->m8,a1.h8->a6.h8<k>,m4->m5,input->a0.h8<q>,m0->m7,a10.h5->m11,a7.h4->m11,m10->a11.h0<v>
m0->a1.h3<v>,a1.h8->m2,m8->m11,a2.h6->logits,a1.h7->m1,a0.h1->m1,m1->a3.h10<k>,m1->a3.h10<k>
m0->a11.h8<v>,m0->a1.h9<q>,m0->a8.h0<v>,a1.h8->a9.h3<k>,a0.h1->m1,a7.h4->logits,m2->m4,a7.h4->logits
m0->a6.h6<q>,m0->a3.h11<k>,m2->m11,m4->m10,a11.h8->logits,a0.h8->m0,a3.h10->m5,m1->m7
m3->m11,a1.h10->a6.h5<q>,m3->m4,a11.h2->m11,a4.h8->m4,m0->m7,m0->a6.h5<k>,m2->m4
m0->a3.h10<q>,m0->a2.h10<v>,input->a0.h7<v>,a6.h4->logits,a7.h4->logits,m1->a3.h10<k>,a0.h10->m0,m0->a1.h9<q>
a10.h5->logits,a1.h8->a5.h4<q>,a8.h0->logits,a3.h8->logits,a9.h8->m11,a1.h7->m3,m1->a3.h7<k>,a2.h6->logits
a1.h8->a3.h10<k>,a3.h10->m3,a3.h7->logits,a4.h8->logits,a10.h5->m11,a9.h8->m11,m5->m9,m2->m8
a1.h10->a6.h5<q>,m0->a3.h10<q>,a10.h5->m11,a11.h4->logits,input->a0.h11<q>,a11.h6->logits,a6.h7->logits,m6->m10
m2->a3.h5<q>,a7.h4->logits,a4.h8->m8,a4.h8->m9,m6->m9,m4->m8,a9.h8->m11,a11.h6->logits
m1->a2.h6<v>,m2->a3.h5<q>,a4.h8->logits,m0->a8.h0<v>,m0->a5.h4<k>,a11.h3->m11,m10->a11.h0<v>,a3.h10->m5
input->a0.h8<v>,m2->a3.h7<q>,a0.h7->m0,input->logits,m1->a3.h10<k>,a1.h8->a2.h11<q>,m0->a11.h8<v>,m2->m5
a1.h10->a9.h3<q>,a0.h10->a3.h3<q>,a11.h11->logits,a11.h9->m11,a1.h7->m3,a2.h6->logits,m9->a11.h0<v>,m0->a6.h5<k>
m0->a3.h7<v>,a1.h8->a4.h8<q>,m7->m8,m0->m7,a2.h6->logits,m0->a7.h4<q>,a2.h6->logits,m9->m10
m0->a2.h6<v>,m0->a2.h5<q>,a9.h3->logits,m8->m11,m0->a2.h6<v>,m6->m8,m0->a7.h8<k>,m1->a3.h7<k>
a0.h6->m2,m1->a3.h10<k>,a3.h0->m11,a8.h9->logits,m1->m3,input->a0.h11<q>,a4.h8->m11,m9->a11.h0<q>
a1.h10->a9.h3<k>,input->a3.h3<k>,input->a0.h7<q>,m5->m10,a1.h8->a3.h10<k>,a3.h0->m5,m0->a3.h1<k>,a3.h0->m5
m5->logits,m0->m11,a11.h2->logits,a4.h11->m6,m1->m10,m0->a3.h6<k>,a7.h4->logits,m9->a11.h0<v>
a0.h9->m2,m0->m3,a11.h3->logits,m1->m6,m2->a3.h5<q>,m1->m3,m2->m5,m5->m9
a3.h5->logits,m7->m8,a0.h11->m0,m6->m8,a1.h8->a2.h11<q>,a1.h8->a3.h10<k>,a3.h0->logits,a9.h8->m9
m0->a2.h7<v>,a10.h5->m11,a3.h0->m8,a3.h5->logits,m9->a11.h0<q>,m9->a11.h0<q>,m9->a11.h0<q>,m7->m9
a1.h2->m2,a2.h6->logits,input->a0.h1<q>,input->a0.h7<v>,m2->m6,m3->logits,m0->a1.h9<q>,a0.h8->m1
a2.h6->logits,m1->m2,m3->m6,a5.h11->m7,m3->logits,input->a0.h6<q>,m0->a1.h8<q>,m5->m8
a2.h10->logits,m0->a9.h3<k>,input->a0.h0<v>,m2->m10,m10->a11.h0<q>,a11.h3->logits,m4->m8,a0.h8->m6
a1.h8->a3.h5<q>,m0->a3.h3<q>,a11.h8->logits,m1->m3,a0.h4->m2,m2->m9,a9.h4->logits,a0.h1->m5
m0->a10.h4<k>,m0->m10,a3.h5->m8,m4->m11,a3.h0->logits,m2->m6,a8.h10->logits,a0.h8->m0
a1.h6->m2,m0->a6.h5<k>,m10->a11.h0<v>,a6.h7->m7,m0->m3,m0->a5.h4<k>,m0->a2.h11<k>,a9.h8->m11
m7->m8,m0->a11.h8<v>,a11.h2->m11,a7.h4->logits,m4->m8,m9->m10,m5->m8,a9.h4->logits
m1->a9.h3<q>,a1.h8->a2.h11<q>,m9->m10,a0.h11->m0,a0.h10->m0,input->a0.h7<v>,m5->logits,m0->a3.h1<k>
a1.h8->a5.h4<k>,m1->a2.h6<v>,a11.h6->logits,a11.h11->logits,a10.h5->m10,m0->a3.h7<k>,m0->a6.h8<k>,a6.h7->logits
m0->m11,m1->a8.h10<q>,a0.h10->m0,a0.h4->m5,m9->a11.h0<v>,a8.h10->logits,a3.h0->m5,m0->a2.h11<k>
a1.h8->a3.h2<q>,a0.h9->m0,a10.h9->m11,m5->m8,a0.h8->m3,m1->a2.h6<v>,m6->m10,m0->a1.h8<q>
a0.h9->a4.h8<q>,m0->m9,m1->m6,a7.h4->m9,m0->a3.h6<k>,a1.h6->m6,m10->a11.h0<q>,a8.h10->logits
m2->m5,m5->m6,a1.h8->a3.h8<q>,a10.h6->m11,m0->a1.h8<q>,a10.h5->m10,input->a0.h1<q>,m0->a7.h4<q>
m7->logits,m2->a3.h3<q>,m6->m9,a0.h7->m0,a10.h5->logits,m0->a2.h6<v>,a11.h1->logits,a2.h6->m2
m1->a6.h8<q>,a1.h8->a5.h3<q>,a0.h1->m7,a0.h3->logits,m1->a2.h6<v>,a0.h8->m3,a1.h8->a3.h1<k>,m7->m8
a1.h8->a6.h5<k>,a0.h7->m3,a5.h11->m7,a2.h3->logits,a9.h4->m11,m1->m10,m0->m7,a3.h0->m9
m0->a3.h11<k>,m5->logits,a4.h11->m6,a6.h7->m6,m3->m6,input->a0.h6<k>,m1->m4,a1.h8->a3.h1<k>
a1.h10->a6.h8<q>,m0->a2.h5<k>,a6.h4->logits,a11.h2->logits,a8.h10->logits,a0.h1->m5,a3.h0->m9,m8->m11
m0->a2.h0<v>,a1.h8->a5.h6<q>,a0.h5->m3,a0.h1->m11,m9->m10,m0->m9,a1.h8->a3.h10<q>,a0.h1->m9
a7.h4->logits,a0.h9->a4.h8<q>,a3.h5->m3,m0->a3.h5<q>,m0->a6.h8<k>,a10.h5->logits,m9->a10.h4<q>,m0->a7.h8<k>
a4.h8->m9,m6->logits,m2->m3,a10.h10->logits,input->a0.h6<q>,a4.h8->m10,a3.h0->m11,a1.h8->a3.h2<k>
a0.h5->m3,a3.h7->m4,a10.h6->m11,a0.h5->m6,input->a0.h1<q>,a0.h8->m1,m2->m8,m10->logits
m2->a3.h7<q>,a0.h8->m0,input->a0.h11<q>,input->a0.h7<q>,a1.h8->a3.h10<q>,m10->a11.h0<q>,a0.h8->m3,m3->m7
m0->a9.h3<q>,m3->logits,m1->logits,m3->m7,a3.h8->m4,a0.h5->m0,a2.h1->m4,m0->m7
m5->m7,a2.h10->logits,m1->m11,a0.h8->m8,a3.h0->m5,a2.h6->m2,m5->m10,m10->a11.h0<q>
m0->a11.h0<v>,m0->a6.h5<q>,m5->m8,a5.h11->m10,m0->a7.h4<q>,a9.h4->m11,m1->m7,a0.h8->m3
m0->a1.h8<q>,m1->a9.h3<q>,a4.h7->logits,m8->m9,input->a0.h7<v>,m2->a3.h5<q>,a0.h8->m6,a1.h6->m6
a3.h10->m3,m1->m6,a0.h9->m0,m3->m8,m0->m9,input->a0.h1<q>,input->a0.h10<q>,m0->a3.h8<k>
m0->a1.h8<v>,a0.h6->m2,a6.h7->m7,input->a0.h1<q>,a3.h0->m11,a3.h0->logits,a0.h1->m5,a2.h5->m4
m1->a8.h10<q>,a3.h5->logits,a1.h8->a6.h5<q>,a0.h5->m3,a2.h6->m2,a0.h9->a2.h2<k>,a4.h6->m6,a0.h1->m1
m0->m10,input->a4.h8<q>,m2->a3.h5<q>,a0.h1->m7,input->a0.h9<q>,m6->m10,a1.h6->logits,input->a0.h1<q>
a1.h10->a3.h5<q>,a1.h6->m2,a11.h1->m11,a2.h10->m8,a6.h7->logits,m6->m9,a2.h6->m2,a0.h0->m0
a4.h8->m8,m0->a10.h4<k>,a4.h6->m4,a3.h5->m5,a0.h4->logits,m0->a6.h4<q>,m3->m6,a1.h8->m1
a3.h0->a4.h8<q>,a4.h8->m8,a5.h4->m6,a2.h6->m6,m3->m7,a0.h6->m0,a3.h10->m3,a1.h8->a6.h8<q>
a0.h7->m3,a6.h5->m6,a0.h4->m5,input->m9,m0->a7.h8<k>,a3.h0->m11,m4->m7,a4.h8->m10
a1.h10->a3.h3<q>,a1.h10->m2,a5.h11->m10,a0.h1->logits,m5->logits,m5->m9,input->m6,a3.h0->m11
a0.h9->logits,a0.h7->m0,input->m9,a8.h2->m11,a1.h6->logits,a0.h9->a2.h5<k>,m1->m10,a0.h6->m0
a3.h0->m9,a0.h1->a4.h8<q>,input->m6,a5.h11->m8,a4.h8->m10,a0.h8->m6,a0.h1->m1,input->m6
a0.h10->a3.h3<q>,a1.h10->a3.h3<q>,m6->m11,a3.h10->m11,m7->m11,m0->a1.h10<v>,a8.h0->logits,input->a0.h11<q>
a1.h10->a8.h10<q>,a2.h6->m3,a3.h8->logits,a2.h2->logits,m0->a3.h7<k>,m9->a11.h0<v>,input->a0.h11<q>,a8.h0->logits
a0.h6->m4,a0.h4->m2,a4.h8->m5,a2.h5->m7,m0->a6.h4<q>,a0.h10->m0,a0.h0->m0,m4->m6
a11.h8->m11,a0.h8->m3,a2.h10->m7,input->m6,m5->a6.h4<q>,a3.h8->m4,a1.h8->a2.h11<q>,m0->a3.h11<k>
m3->m10,a0.h8->m1,a2.h8->m4,a4.h6->m6,a0.h8->m1,m0->a1.h8<q>,a11.h8->logits,a0.h7->m2
m3->a4.h8<q>,a3.h0->m9,a0.h8->m7,a3.h2->logits,m7->m8,m2->m8,a2.h10->m5,a11.h4->logits
m0->a6.h4<k>,a4.h8->m9,m3->m5,m1->a9.h3<q>,m7->m9,a0.h4->m2,a10.h4->logits,a3.h0->logits
a4.h4->m4,a1.h8->a4.h3<q>,a8.h9->logits,a0.h8->m11,a4.h11->logits,m0->a3.h0<q>,m2->m6,m8->m10
a0.h3->m9,input->a3.h3<q>,m1->a3.h8<q>,a3.h5->m8,a0.h6->m2,a6.h7->logits,a0.h4->logits,a1.h6->logits
a0.h9->a10.h4<k>,m0->a11.h0<v>,a1.h6->logits,a10.h0->m11,m8->m10,input->a0.h9<q>,a1.h8->m1,a1.h8->a8.h10<q>
a4.h8->m11,a1.h10->m1,m0->a9.h3<k>,a3.h2->m3,input->m6,a0.h4->logits,m0->a7.h4<q>,a1.h7->m6
m6->m10,a1.h8->a6.h5<k>,a6.h5->m8,a4.h8->m5,m0->a8.h0<v>,a0.h0->m0,m8->m11,a3.h6->m4
a6.h5->m6,a10.h5->logits,m0->a11.h10<k>,a11.h3->logits,a0.h6->m0,a4.h11->logits,a3.h8->m4,m0->a6.h8<k>
a0.h10->a9.h3<q>,a1.h6->m1,a0.h8->m8,a11.h1->logits,a0.h0->m0,a0.h1->m9,a4.h11->logits,a4.h11->logits
m9->a11.h0<v>,m5->a6.h5<q>,a2.h3->logits,a3.h7->m3,m10->a11.h8<v>,m5->a6.h4<q>,a0.h9->m0,a3.h8->m4
a1.h10->a3.h7<q>,a1.h2->m2,a1.h10->a9.h3<k>,m1->m4,input->a0.h10<q>,a6.h4->logits,a1.h8->a8.h10<q>,a4.h6->m6
m0->a2.h6<k>,m9->a11.h0<q>,a0.h8->m11,m2->m9,a3.h0->m9,m0->a6.h8<k>,m7->m8,m3->m11
m1->a3.h10<q>,a1.h10->a6.h8<q>,a8.h10->m8,input->a0.h0<v>,m0->a3.h0<q>,m0->a1.h3<k>,a0.h6->m0,input->a0.h2<k>
m9->a11.h0<q>,a0.h10->a6.h5<q>,a1.h10->a9.h3<q>,input->a0.h11<q>,a0.h1->m5,input->m6,m0->a3.h11<k>,a0.h8->m5
m0->a1.h9<q>,m0->a3.h7<v>,a2.h10->m2,a9.h4->m11,a0.h1->m9,m7->m9,m3->m4,m2->m6
m9->a10.h4<q>,m2->a4.h11<v>,a0.h5->logits,m1->a9.h3<k>,m5->m9,a1.h6->logits,a1.h7->m6,a1.h8->a2.h11<q>
m0->a5.h4<q>,a0.h1->a2.h6<v>,a1.h8->a4.h1<q>,a0.h9->m7,a1.h8->m1,m0->a1.h3<v>,m0->a1.h3<v>,a3.h10->m3
a2.h7->m2,a0.h3->m2,a6.h7->m6,a1.h8->a3.h8<q>,input->a0.h6<k>,a2.h10->m2,a0.h1->m9,m0->a1.h3<v>
a1.h10->a7.h4<q>,a2.h6->a4.h8<q>,m10->a11.h10<q>,a2.h10->m7,m4->m11,a0.h6->m2,input->a0.h2<k>,a11.h8->m11
a0.h10->m2,a1.h8->a3.h2<q>,a1.h6->m4,a8.h8->logits,a6.h4->logits,m10->a11.h8<v>,a10.h0->logits,a0.h9->a2.h5<k>
a0.h9->m8,a0.h11->m0,a9.h4->m11,a0.h10->m0,a1.h6->m6,m4->m6,a1.h8->a3.h2<k>,m1->m10
m1->a10.h4<k>,m0->a1.h1<v>,a2.h6->m6,a5.h4->m6,a0.h8->m6,a9.h8->logits,m7->m11,m4->m11
a8.h10->m8,m0->a2.h6<v>,a3.h10->m11,a11.h10->logits,a0.h9->a2.h5<k>,a1.h8->a3.h7<k>,a1.h6->m3,a2.h10->logits
m7->m11,a2.h9->m2,input->a0.h10<k>,a2.h3->m2,m2->a4.h11<v>,m1->m8,a6.h7->m8,a1.h6->m3
a8.h0->m8,a2.h3->a4.h8<q>,a0.h5->m1,a4.h11->m8,a11.h1->logits,m0->a3.h2<k>,a3.h6->m4,a6.h7->m8
m3->logits,a0.h3->m9,a5.h11->m5,m8->m10,m0->a1.h10<v>,a1.h8->a3.h11<k>,a1.h8->a6.h8<q>,a1.h1->m2
a0.h7->m2,m1->a3.h5<q>,a0.h10->a9.h3<q>,a2.h3->m4,a8.h0->logits,a1.h7->m6,a10.h5->m10,a2.h3->m3
a1.h10->m3,a0.h10->a6.h8<q>,m7->a8.h10<q>,a2.h1->logits,a1.h8->a3.h1<k>,a2.h8->m2,a2.h5->m4,a0.h10->m0
a0.h11->m0,a4.h11->m6,a2.h6->logits,a7.h6->m7,a1.h8->a8.h10<q>,m0->a1.h3<q>,m0->a3.h8<k>,a0.h4->logits
m0->a1.h3<k>,a0.h3->a3.h3<k>,a0.h1->m3,a1.h6->m7,a0.h8->m5,m8->m10,m3->a4.h8<q>,a11.h1->m11
a0.h9->a10.h4<q>,a0.h9->a6.h5<q>,m0->m10,a0.h8->m6,a0.h5->m0,m4->m11,a10.h8->logits,m8->a11.h0<q>
a2.h6->m2,m0->a3.h1<k>,a1.h8->a9.h7<q>,a1.h0->logits,m0->a1.h6<q>,a1.h8->a3.h2<k>,m8->m10,a2.h3->m6
a0.h10->a6.h8<q>,input->a0.h5<q>,a2.h10->m8,input->a0.h10<k>,a4.h6->m6,a0.h8->m5,m0->a4.h6<k>,a0.h10->m2
m1->a9.h3<k>,a1.h10->a3.h5<q>,a0.h1->m11,a1.h6->m4,a3.h8->m3,m6->a7.h4<q>,m0->a8.h0<v>,a1.h8->a3.h10<q>
m5->a6.h5<q>,m9->a11.h0<v>,a7.h4->logits,a9.h0->logits,m0->a1.h3<v>,a8.h0->logits,a0.h1->m0,a2.h10->m4
a0.h7->m0,a3.h4->a4.h8<q>,a0.h8->m3,a10.h6->m10,a2.h10->m5,a3.h0->m9,a6.h4->logits,m3->m10
a0.h10->a6.h5<q>,a1.h8->a6.h0<q>,a2.h3->m2,a9.h4->m10,m3->a6.h4<q>,a2.h10->m7,a2.h3->m3,m2->a4.h6<v>
a1.h8->a5.h3<q>,m7->m9,m3->m10,input->a0.h3<k>,a6.h3->m9,a1.h8->m1,m0->a3.h7<q>,m1->a11.h8<k>
a0.h10->m5,a3.h5->a4.h8<q>,a2.h2->logits,a0.h1->m8,a1.h8->a3.h2<k>,m0->a1.h9<q>,a4.h8->m10,input->logits
a1.h10->a5.h4<q>,input->a0.h11<v>,input->a9.h3<k>,m3->m6,m0->a4.h6<k>,input->a0.h10<q>,a2.h10->m4,a0.h8->m9
m1->a3.h10<k>,m0->a2.h11<k>,m0->m8,input->m7,a1.h11->m3,m0->a6.h5<k>,a9.h4->m11,input->a0.h4<q>
a0.h3->m7,m0->a2.h10<k>,input->a0.h3<k>,a1.h8->a4.h1<q>,a1.h7->m6,m3->m4,m2->a4.h6<v>,m6->a7.h4<q>
